Product,Author,Rating,Review,Date,date_review
MarQ AC 2025,kiran kumar Boyina,3,"good product from marq, this is my second marq ac
in my home. Installation was fast as we requested
for same day delivery and installation. wow
installation is very fast , thanks to Jeeves for
the same.  marq ac is a good quality ac with in
budget.  go for it without any doubt.  iam using
it since last 1 yr. no problems so far.","Jun, 2019","Jun, 2019"
MarQ AC 2025,Harsh Garg,4.2,"In 8hrs from 9 am to 5 pm .. its take 10 Unit .
Cost of Unit Rs. 7. Total Rs. 10x7= Rs. 70 in a
day. Shop Size 10x13Feet","Jun, 2019","Jun, 2019"
MarQ AC 2025,Sourav Dutta,5,"But until we use it for 2 months it is early to
say","Jun, 2019","Jun, 2019"
MarQ AC 2025,Krishnendu Chowdhury,5,"Best inverter AC in the 1 ton segment ,
installation at 24 hours after delivery but
installation chargers is higher than
expected,overall a good product in this price.","Jun, 2019","Jun, 2019"
MarQ AC 2025,Harjot Singh,5,nice ac,"Jun, 2019","Jun, 2019"
MarQ AC 2025,Vadivelu Vadivelu,4,"2 day before I got 1ton 5star inverter ac this
cooling ok energy efficient I Dn't knw anyone tell
me monthly current bill and how to save energy
efficient tell me please","Jun, 2019","Jun, 2019"
MarQ AC 2025,RAVINDRA PRASAD MATTAPARTHI,5,"its really nice product. plz try to buy .....
after one month i am writing this","Jul, 2019","Jul, 2019"
MarQ AC 2025,Dr. Jaynesh Vandra,4,"I bought 1Ton 5star MARQ by Flipkart A/C.  I used
it daily from 10PM to 5AM at 25°c - 27°c
temperature constantly, and it consumes only
3points of electricity. It gives decent cooling
between 24°c to 27°c. (Room size is 120sq feet).
And above 24°c it consumes 2points of electricity
per hour. and gives heavy cooling.  It doesn't
produce noise while running, It is Quite and
elegant .  I have distance of 35feet between
indoor unit and outdoor unit then also it cools
the room immediately. Com... READ MORE","Jul, 2019","Jul, 2019"
MarQ AC 2025,Shelja Bhalla,5,"go for it 5 star ac good cooling my room is 10*12
and 1 ton ac is sufficient for it i got this
product in summer sale it cost me 22.5k","Jul, 2019","Jul, 2019"
MarQ AC 2025,sandip dutta,5,"thank u flipkart...1hrs 11 mnt power consumption
0.5 unit 27 degree c....cool mood ..thanks","Jul, 2019","Jul, 2019"
MarQ AC 2025,Pradipkumar Gheewala,3,"Pros: Good cooling, energy efficient Cons: Swing
flip has the major design issue. Swing flip
working bottom to up and due to this minimum 2 to
3 feet space required between the wall on which
you mounted indoor unit and your bed otherwise
ac's direct air won't come to your bed and you
need to wait till the whole room got cooled. You
need run your ac very law temperature due to this
otherwise same could be operated at 26-27C. I am
using Samsung ac till last more than 4 years and
it's design is ... READ MORE","Aug, 2019","Aug, 2019"
MarQ AC 2025,BALU ANAND P,4,"Happy to buy this product. Nice cooling and
quality product. Installation persons are polite
and friendly. Thank you Flipkart.","Sep, 2019","Sep, 2019"
MarQ AC 2025,Ananda,5,"i got this for 24000 on Big billian days. value
for money","Oct, 2019","Oct, 2019"
MarQ AC 2025,TUSHAR PAKHIRA,4.2,Good product,"Oct, 2019","Oct, 2019"
MarQ AC 2025,Avinash Kumar,5,"Purchased AC during Big Billion days. Till now
waiting for installation. Everytime fake promises
and dates being given by customer support.","Oct, 2019","Oct, 2019"
MarQ AC 2025,Anbu,3,"the installation was worst and they have not
closed the back side hole of the connection and
the insulation of outdoor unit was not completed
they have taken 2050/-for installation and 860/-
for extra 1m pipe and accessories.","Oct, 2019","Oct, 2019"
MarQ AC 2025,Rohit Ghodke,5,"Best ac from Flipkart, thank you.","Oct, 2019","Oct, 2019"
MarQ AC 2025,Jaharlal Koley,5,"extremely bad installation, the person attended
was mr Angad, insisting on 5 Star rating, almost
forcefully. 2nd day onwards water leaking inside
room. After lots of struggle with Jeeves one
person named mr Nadeen came after 15 days and told
drain pipe was not connected properly. ac worked
for 1 day and then stopped cooling completely. 15
days further struggle with marq and Jeeves mr
nadeem came again to tell that no gas in ac as it
leaked due to improper copper pipe junction. he
told that h... READ MORE","Nov, 2019","Nov, 2019"
MarQ AC 2025,Rohan Bhobad,5,"product is superb worth 5 star, but i am giving 3
star beacuse installatuob guys are looting
everyone taking unnecessary installation charges.","Jan, 2020","Jan, 2020"
MarQ AC 2025,vamshi reddy,5,"Perfect cooling, The best.. no need of brand ,
Just buy this the perfect AC at affordable price.
its better than Voltas.. i have purchased both
Voltas 1.2ton and Marq 1ton ,i felt marq 1ton is
better.. just buy it","Feb, 2020","Feb, 2020"
MarQ AC 2025,Jaspal singh Gill,4,"Nice product thnks flipcart delivery get before
time and installation same day installation team
bahivour good and work smoothly done by jeevas","Feb, 2020","Feb, 2020"
MarQ AC 2025,Ayan Sarkar,5,"Very nice ac energy efficiency was too good only
consumes about 50 units using 8 hrs per day 1
month usage electric bill was about 750 strongly
recommend this ac! Reviewing after using this ac
about 6 month!","Feb, 2020","Feb, 2020"
MarQ AC 2025,Veenapatel Gajula,4,Best in the market,"Feb, 2020","Feb, 2020"
MarQ AC 2025,vikas Bhosale,4.2,"Left and right swing but manual. No fhan
switchoff.even in sleep mode. Voice is high. Cant
switch of fhan. I run it on 30 cc temperature.
Though it is very cool. It cool my full 1 bhk. No
electricity consumption.","Feb, 2020","Feb, 2020"
MarQ AC 2025,samiulla shaik,5,"Quite Satisfactory with the product The only
çomplàint from my side is about the installation
charges , théy charged the exorbitant charges
while other brànds go for free installation. To
summarize the produçt is good , i hope you look
after thé installation issue.","Mar, 2020","Mar, 2020"
MarQ AC 2025,Anil Kapoor,5,Best for a small room,"Mar, 2020","Mar, 2020"
MarQ AC 2025,Flipkart Customer,5,Excellent performance,"Mar, 2020","Mar, 2020"
MarQ AC 2025,sasanko Das,5,Very hurtful products,"Mar, 2020","Mar, 2020"
MarQ AC 2025,Bharath Poonchola,5,"Nice delivery and great experience from Flipkart .
Only fault is that we need a power point for plug
in it doesn't come with the installation team .","Mar, 2020","Mar, 2020"
MarQ AC 2025,Tapash Hazarika,5,value of money...,"May, 2020","May, 2020"
MarQ AC 2025,Thoutam Naveen,4.2,Very Good,"May, 2020","May, 2020"
MarQ AC 2025,Ashish Patel,5,"It is good product at this price , economical and
productive and installation is good","May, 2020","May, 2020"
MarQ AC 2025,Hari cart Customer,5,"Ac super, cooling , design, everything is good...
But installation team charges high.. ac fan stand
rs 1,000/-.. out side cost is 350/-... If we buy
out side 250/- for satnd installation , 1599 for
ac installation.... Fully commercial people is
there installation team.. and delivery people also
asking give me mamulu....","May, 2020","May, 2020"
MarQ AC 2025,K V Naresh,3,Nice product,"May, 2020","May, 2020"
MarQ AC 2025,Rajib Saha,4.2,"I purchased this ac for about 24 k and my room
size is. Around 120 sqft it works well and cools
the room quite nicely. At first i was hesitant
about its cooling performance as its a 1 ton. But
it works well might take few minutes extra but
does the work.","Jun, 2020","Jun, 2020"
MarQ AC 2025,Khushbu Vyas,5,"Mind blowing purchase Cooling is like a
kashmir.best looking product in its price range.
Value for money. Super silent inside and out side.
Take 2 minutes more to cool the room even in slow
fan. Thank you Flipkart","Jun, 2020","Jun, 2020"
MarQ AC 2025,Deepraj Dey,5,"The Installation service was very good and the
Product is also very good","Jun, 2020","Jun, 2020"
MarQ AC 2025,Jini Collection Jini Collection,5,It's so wonderfully work and superb cooling,"Jun, 2020","Jun, 2020"
MarQ AC 2025,Flipkart Customer,3,"The best aur conditioner in the market.you can go
for it without any doubt .These are the pictures
of new 2020 model of air conditioner.You will fall
in love with this product after use.I am uploading
the pictures.","Jun, 2020","Jun, 2020"
MarQ AC 2025,sabari C,4.2,Good AC for the price,"Jun, 2020","Jun, 2020"
MarQ AC 2025,Pavan Kumar,3,"So if this is your first ac u may not know the
differences but this does not contain swing from
left to right and also i think it has less
performance then a regular other company acs on
behalf of cooling so i think its a go for a small
room and for power save.well it cost me 30k for
total process upto installation for a 5 star ac","Jun, 2020","Jun, 2020"
MarQ AC 2025,Rakesh Anu,3,Superb,"Jul, 2020","Jul, 2020"
MarQ AC 2025,kamlesh sahu,5,Super...,"Oct, 2020","Oct, 2020"
Milton Electric Kettle,Jyoti Chaunal,5,Nice product thanku filpkart team all members,"May, 2021","May, 2021"
Milton Electric Kettle,Flipkart Customer,4,"Very good, useful","May, 2021","May, 2021"
Milton Electric Kettle,Rohith K,4.2,Good,"Jun, 2021","Jun, 2021"
Milton Electric Kettle,Flipkart Customer,4,Nice product,"Jul, 2021","Jul, 2021"
Milton Electric Kettle,Lakshman Kumar,4,Good product,"Jul, 2021","Jul, 2021"
Milton Electric Kettle,Flipkart Customer,5,Fabulous,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Mahfooz Alam,3,Good,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Irsad Ali,5,Nice.. But wire cable is to short,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Flipkart Customer,5,Good,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Flipkart Customer,5,Good product,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Flipkart Customer,4,Good product...But wire is very small,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Flipkart Customer,5,Good product,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Sandeep Kumar Patel,5,Very very happy this product 😀😊,"Oct, 2021","Oct, 2021"
Milton Electric Kettle,Ravinder Kumar,5,Good quality,"Nov, 2021","Nov, 2021"
Milton Electric Kettle,Mousumi Dutta,5,This is good kettle,"Nov, 2021","Nov, 2021"
Milton Electric Kettle,Dolly Devi,4,Very good Please ye kharide,"Nov, 2021","Nov, 2021"
Milton Electric Kettle,Flipkart Customer,3,"Thank u flipkart, good pradact","Nov, 2021","Nov, 2021"
Milton Electric Kettle,Krishna kumar Gupta,5,Good,"Nov, 2021","Nov, 2021"
Milton Electric Kettle,Flipkart Customer,4.2,Good product and useful Milton combo pack.,"Nov, 2021","Nov, 2021"
Milton Electric Kettle,Ranjith Panduga,4,Very nice product,"Nov, 2021","Nov, 2021"
Milton Electric Kettle,Pradeep Kumar Kashyap,4,"All things about it were excellent except short
Adapt wire. Otherwise kettle and insulatated flask
working nice , value for money, go for it 👍","Nov, 2021","Nov, 2021"
Milton Electric Kettle,Flipkart Customer,3,"Excellent product , thanku Flipkart and milton
too!! Nice working .look is awesome .and same as
shown","Dec, 2021","Dec, 2021"
Milton Electric Kettle,Flipkart Customer,4.2,Nice,"Dec, 2021","Dec, 2021"
Milton Electric Kettle,Kanhaiya Chaudhary,5,"Good job! Mind-blowing! I am impressed from this
product! It heat the water very quickly and it's
good for winter!   THANK YOU FLIPKART","Dec, 2021","Dec, 2021"
Milton Electric Kettle,Rahul Singh,5,Superb quality👌👌,"Dec, 2021","Dec, 2021"
Milton Electric Kettle,SUDIPTA PODDER,5,"Product is very good....but electric connection
cable is very short........","Jan, 2022","Jan, 2022"
Milton Electric Kettle,Sachin Kumar,4,Good product Thanks flipcart,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,GAURAV KUMAR,4,Must buy this product. Value of money.,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,Vivekanand Tiwari,5,Good,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,Flipkart Customer,4.2,Very nice,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,Mostofa Sk,5,Good,"Jan, 2022","Jan, 2022"
